722;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
723;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 3;weka.classifiers.bayes.NaiveBayes --;21527;success;0.572;0.572;0.732;0.075;0.428;0.268;0.925;0.673;0.225;0.195;0.819;0.54;0.767;0.709;0.725;0.668;0.568;0.717;0.569;0.668;0.649;0.383;0.019;0.402;"[""0.825"", ""0.650"", ""0.625"", ""0.675"", ""0.750"", ""0.700"", ""0.900""]";"[""0.000"", ""0.650"", ""0.584"", ""0.600"", ""0.000"", ""0.197"", ""0.333""]";"[""0.825"", ""0.591"", ""0.643"", ""0.667"", ""0.750"", ""0.200"", ""1.000""]";"[""1.000"", ""0.722"", ""0.474"", ""0.471"", ""1.000"", ""0.111"", ""0.200""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.550"", ""0.350"", ""0.300"", ""1.000"", ""0.125"", ""0.025""]";"[""-0.175"", ""-0.100"", ""0.125"", ""0.125"", ""-0.250"", ""0.100"", ""0.100""]"
724;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
725;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 0 -batch-size 11;weka.classifiers.rules.JRip -- -N 2.7 -E -O 4;18295;success;0.558;0.558;0.736;0.175;0.442;0.264;0.825;0.702;0.175;0.269;0.655;0.514;0.975;0.724;0.702;0.51;0.533;0.713;0.516;0.523;0.564;0.545;0.003;0.548;"[""0.825"", ""0.675"", ""0.650"", ""0.750"", ""0.600"", ""0.775"", ""0.875""]";"[""0.000"", ""0.646"", ""0.630"", ""0.702"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.667"", ""0.600"", ""0.769"", ""0.706"", ""0.000"", ""0.000""]";"[""1.000"", ""0.556"", ""0.789"", ""0.588"", ""0.800"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.375"", ""0.625"", ""0.325"", ""0.850"", ""0.000"", ""0.000""]";"[""-0.175"", ""0.075"", ""-0.150"", ""0.100"", ""-0.100"", ""0.225"", ""0.125""]"
727;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
728;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
729;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
730;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
731;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
733;flags;0;False;meka.classifiers.multilabel.PSt -P 4 -N 3;weka.classifiers.rules.PART -- -M 31 -R -N 4;7189;success;0.527;0.527;0.668;0.0;0.473;0.332;1.0;0.683;0.25;0.23;0.794;0.589;0.788;0.619;0.756;0.354;0.571;0.68;0.429;0.468;0.5;0.817;0.003;0.82;"[""0.825"", ""0.550"", ""0.475"", ""0.425"", ""0.750"", ""0.775"", ""0.875""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.000"", ""0.475"", ""0.425"", ""0.750"", ""0.000"", ""0.000""]";"[""1.000"", ""0.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.175"", ""0.450"", ""-0.525"", ""-0.575"", ""-0.250"", ""0.225"", ""0.125""]"
734;flags;0;False;meka.classifiers.multilabel.RAkELd -P 2 -N 3 -batch-size 11;weka.classifiers.rules.JRip -- -N 1.5 -O 4;18156;success;0.542;0.542;0.718;0.2;0.458;0.282;0.8;0.693;0.175;0.289;0.655;0.549;1.041;0.713;0.664;0.542;0.491;0.688;0.478;0.515;0.542;0.933;0.018;0.951;"[""0.825"", ""0.725"", ""0.550"", ""0.675"", ""0.600"", ""0.775"", ""0.875""]";"[""0.000"", ""0.560"", ""0.376"", ""0.509"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""1.000"", ""0.515"", ""0.750"", ""0.706"", ""0.000"", ""0.000""]";"[""1.000"", ""0.389"", ""0.895"", ""0.353"", ""0.800"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.175"", ""0.825"", ""0.200"", ""0.850"", ""0.000"", ""0.000""]";"[""-0.175"", ""0.275"", ""-0.350"", ""0.225"", ""-0.100"", ""0.225"", ""0.125""]"
